Fib,,,,BSA,,,,,
Total mass,Volume (uL),Media,,Total mass,Volume (uL),Media,,,
1,0.02,99.98,,1,0.020944882,99.97905512,,,
10,0.2,99.8,,10,0.209448819,99.79055118,,,
50,1,99,,50,1.047244094,98.95275591,,,
100,2,98,,100,2.094488189,97.90551181,,,
500,10,90,,500,10.47244094,89.52755906,,,
1000,20,80,,1000,20.94488189,79.05511811,,,
2000,40,60,,2000,41.88976378,58.11023622,,,
,,,,,,,,,
Stock concentration,,Molar concentration,,Stock concentration,,Molar concentration,,,
50,ug/uL,0.000787402,,50,ug/uL,0.00075188,,BSA/Fib ,0.954887218
-----------------------------,,,,,,,,,
M.W.,1 mM of 1 mL,,,,,,,,
63500,0.0635,,,,,,,,
66500,0.0665,,,,,,,,
95000,0.095,,,,,,,,
,(in grams),,,,,,,,
,,,,,,,,,
0.000300752,0.30075188,,1905,,,,,,
,,,38.1,,,,,,
