c,ala,o-ac,n-deac,ac #,lac,bridge,mass,z,true auc 1
0,0,0,0,0,0,0,1111.511339,1,28022.87464
0,0,1,0,1,0,0,1153.521903,1,345.2727194
0,1,1,0,1,0,0,1224.559017,1,17206.79558
0,2,1,0,1,0,0,1295.596131,1,1173.083023
1,2,0,0,0,0,0,2417.116177,2,3903.291749
1,2,0,0,0,0,0,2417.116177,3,9555.422797
1,1,0,0,0,0,0,2346.079064,3,143670.2398
1,1,1,0,1,0,0,2388.089628,3,29508.0861
1,1,2,0,2,0,0,2430.100193,3,1726.498283
1,2,1,0,1,0,0,2459.126742,3,8804.994923
2,1,0,0,0,0,0,3509.609675,3,108836.6018
2,1,0,0,0,0,0,3509.609675,4,20218.71043
2,1,1,0,1,0,0,3551.62024,3,23274.56674
2,1,1,0,1,0,0,3551.62024,4,2645.686194
3,1,0,0,0,0,0,4673.140286,4,109159.6508
3,1,1,0,1,0,0,4715.150851,4,33873.83806
3,1,0,0,0,0,0,4673.140286,3,6566.204377
1,1,1,0,1,0,0,2388.089628,2,30909.31627
1,1,0,0,0,0,0,2346.079064,2,35108.06142
0,2,1,0,1,0,0,1295.596131,2,71990.15611
0,2,1,0,1,0,0,1295.596131,2,33681.08905
0,1,1,0,1,0,0,1224.559017,2,30409.87223
0,2,0,-1,-1,0,0,1212.582278,2,32545.15634
1,1,0,-1,-1,0,0,2305.075775,3,36767.59306
1,2,0,-1,-1,0,0,2376.112889,3,3485.012362
2,1,0,-1,-1,0,0,3468.606387,4,20489.27489
2,1,0,-1,-1,0,0,3468.606387,3,41411.72684
2,2,0,-1,-1,0,0,3539.6435,3,6278.221326
3,1,0,-1,-1,0,0,4632.136998,4,45097.83532
3,2,0,-1,-1,0,0,4703.174112,4,11079.54825
1,2,0,0,0,1,0,2418.100193,3,3813.525838
1,2,1,0,1,1,0,2460.110758,3,2578.980966
0,2,1,0,1,1,0,1296.580146,2,4487.631069
0,2,0,-1,-1,1,0,1213.566294,2,62781.21183
0,0,0,0,0,0,1,824.3883699,1,35422.82527
0,0,1,0,1,0,1,866.3989346,1,45182.86552
0,1,0,0,0,0,1,895.4254837,1,9906.415462
1,1,0,0,0,0,1,2058.956095,2,2394.425578
1,1,0,0,0,0,1,2058.956095,3,3133.15882
1,1,1,0,1,0,1,2100.96666,2,17321.99394
1,1,1,0,1,0,1,2100.96666,3,14972.17258
1,2,0,0,0,0,1,2129.993209,3,827.1671545
1,2,1,0,1,0,1,2172.003773,2,1458.205388
1,2,1,0,1,0,1,2172.003773,3,1482.967366
2,1,0,0,0,0,1,3222.486706,3,14248.25013
2,1,1,0,1,0,1,3264.497271,3,29059.88342
2,1,2,0,2,0,1,3306.507836,3,56449.51986
3,1,1,0,1,0,1,4428.027882,4,18571.04098
3,1,2,0,2,0,1,4470.038447,4,53367.53065
0,2,0,0,0,1,1,967.4466131,1,6940.928761
1,2,0,0,0,1,1,2130.977224,3,1308.790206
1,2,1,0,1,1,1,2172.987789,3,1104.527502
