Time,A1,B1,C1,D1,A1,B1,C1,D1,A1,B1,C1,D1
0:00:00,0.108,0.159,0.174,0.199,0.112,0.127,0.146,0.166,0.106,0.147,0.171,0.231
0:15:00,0.11,0.158,0.173,0.213,0.107,0.123,0.146,0.174,0.106,0.148,0.172,0.239
0:30:00,0.111,0.16,0.184,0.22,0.11,0.126,0.15,0.178,0.108,0.152,0.175,0.244
0:45:00,0.113,0.164,0.187,0.224,0.111,0.127,0.152,0.18,0.108,0.155,0.178,0.253
1:00:00,0.114,0.166,0.19,0.23,0.112,0.129,0.154,0.187,0.11,0.159,0.183,0.26
1:15:00,0.115,0.168,0.192,0.235,0.113,0.13,0.157,0.189,0.111,0.16,0.188,0.266
1:30:00,0.116,0.171,0.194,0.239,0.113,0.13,0.16,0.194,0.113,0.161,0.188,0.267
1:45:00,0.117,0.172,0.196,0.243,0.113,0.13,0.162,0.197,0.113,0.161,0.189,0.269
2:00:00,0.117,0.174,0.198,0.246,0.113,0.13,0.162,0.201,0.114,0.161,0.191,0.272
2:15:00,0.118,0.175,0.199,0.25,0.114,0.131,0.163,0.202,0.115,0.162,0.192,0.273
2:30:00,0.118,0.176,0.201,0.253,0.114,0.131,0.164,0.204,0.115,0.162,0.193,0.275
2:45:00,0.119,0.177,0.202,0.256,0.115,0.131,0.164,0.205,0.115,0.162,0.193,0.276
3:00:00,0.119,0.179,0.204,0.259,0.115,0.132,0.165,0.206,0.115,0.162,0.194,0.277
3:15:00,0.12,0.18,0.206,0.262,0.115,0.133,0.165,0.208,0.115,0.163,0.195,0.278
3:30:00,0.12,0.182,0.207,0.265,0.115,0.133,0.165,0.209,0.116,0.163,0.195,0.279
3:45:00,0.12,0.183,0.209,0.267,0.116,0.133,0.166,0.21,0.116,0.163,0.197,0.28
4:00:00,0.121,0.184,0.21,0.27,0.115,0.133,0.166,0.211,0.114,0.163,0.197,0.281
4:15:00,0.121,0.185,0.212,0.273,0.116,0.134,0.167,0.211,0.115,0.164,0.197,0.282
4:30:00,0.121,0.187,0.213,0.276,0.116,0.134,0.167,0.212,0.115,0.164,0.198,0.283
4:45:00,0.122,0.188,0.215,0.278,0.117,0.134,0.168,0.214,0.115,0.164,0.198,0.284
5:00:00,0.121,0.189,0.216,0.281,0.117,0.135,0.169,0.215,0.115,0.164,0.199,0.285
5:15:00,0.122,0.19,0.218,0.284,0.117,0.135,0.17,0.215,0.115,0.165,0.199,0.285
5:30:00,0.122,0.191,0.219,0.286,0.117,0.136,0.17,0.216,0.115,0.165,0.2,0.286
5:45:00,0.123,0.193,0.221,0.289,0.118,0.136,0.171,0.218,0.115,0.166,0.201,0.287
6:00:00,0.123,0.194,0.222,0.291,0.118,0.136,0.172,0.219,0.116,0.166,0.2,0.288
6:15:00,0.123,0.195,0.224,0.294,0.119,0.137,0.172,0.22,0.115,0.166,0.201,0.289
6:30:00,0.124,0.197,0.226,0.297,0.119,0.137,0.174,0.221,0.116,0.166,0.202,0.289
6:45:00,0.124,0.198,0.228,0.299,0.12,0.138,0.174,0.223,0.116,0.166,0.202,0.29
7:00:00,0.124,0.2,0.23,0.302,0.121,0.138,0.175,0.224,0.116,0.167,0.203,0.291
7:15:00,0.125,0.201,0.232,0.305,0.122,0.139,0.176,0.226,0.116,0.167,0.202,0.292
7:30:00,0.125,0.203,0.233,0.308,0.121,0.14,0.177,0.226,0.116,0.167,0.203,0.293
7:45:00,0.125,0.205,0.235,0.311,0.122,0.14,0.178,0.228,0.116,0.167,0.203,0.293
8:00:00,0.125,0.206,0.237,0.314,0.124,0.141,0.179,0.229,0.116,0.167,0.204,0.294
8:15:00,0.126,0.208,0.239,0.317,0.124,0.141,0.179,0.23,0.117,0.168,0.205,0.294
8:30:00,0.126,0.209,0.241,0.32,0.125,0.142,0.181,0.232,0.116,0.168,0.205,0.295
8:45:00,0.126,0.211,0.243,0.324,0.126,0.143,0.181,0.233,0.117,0.168,0.205,0.296
9:00:00,0.126,0.212,0.245,0.326,0.125,0.144,0.182,0.235,0.117,0.168,0.205,0.297
9:15:00,0.127,0.215,0.247,0.329,0.126,0.145,0.183,0.236,0.117,0.169,0.206,0.298
9:30:00,0.127,0.217,0.249,0.333,0.126,0.145,0.184,0.238,0.117,0.169,0.206,0.298
9:45:00,0.127,0.219,0.252,0.336,0.126,0.146,0.185,0.239,0.118,0.169,0.207,0.298
10:00:00,0.127,0.222,0.256,0.34,0.127,0.147,0.187,0.241,0.117,0.169,0.207,0.299
10:15:00,0.128,0.225,0.259,0.344,0.127,0.148,0.188,0.243,0.118,0.169,0.207,0.3
10:30:00,0.128,0.228,0.263,0.348,0.127,0.15,0.189,0.245,0.118,0.17,0.208,0.301
10:45:00,0.128,0.231,0.267,0.352,0.127,0.151,0.19,0.247,0.118,0.17,0.208,0.302
11:00:00,0.129,0.235,0.271,0.356,0.128,0.153,0.192,0.25,0.118,0.17,0.208,0.302
11:15:00,0.129,0.239,0.275,0.36,0.128,0.154,0.193,0.253,0.119,0.17,0.209,0.303
11:30:00,0.129,0.243,0.28,0.364,0.129,0.156,0.195,0.256,0.118,0.171,0.209,0.304
11:45:00,0.129,0.247,0.284,0.367,0.129,0.159,0.198,0.259,0.119,0.171,0.209,0.304
12:00:00,0.129,0.251,0.288,0.368,0.13,0.161,0.2,0.263,0.119,0.171,0.209,0.305
12:15:00,0.13,0.255,0.292,0.366,0.13,0.164,0.203,0.267,0.119,0.171,0.21,0.306
12:30:00,0.13,0.258,0.295,0.364,0.13,0.167,0.206,0.272,0.119,0.172,0.21,0.307
12:45:00,0.13,0.26,0.298,0.365,0.131,0.171,0.21,0.276,0.119,0.172,0.211,0.309
